Flux
93.85
83.81
20.1
-26.98
-39.56
-124.71
-135.18
-96.27
-79.89
-160.17
-207.47
-154.88
-173.71
-146.56
-120.26
-102.85
-98.71
-48.42
-86.57
-0.84
-25.85
-67.39
-36.55
-87.01
-97.72
-131.59
-134.8
-186.97
-244.32
-225.76
-229.6
-253.48
-145.74
-145.74
30.47
-173.39
-187.56
-192.88
-182.76
-195.99
-208.31
-103.22
-193.85
-187.64
-92.25
-119.25
-87.5
-1.86
-4.99
18.01
11.12
61.71
-0.61
42
-31.25
-74.58
-51.94
-89.66
-83.04
-118.08
-155.85
-145.74
-188.05
-226.28
-257.38
-299.33
-365.2
-388.95
-127.85
-127.85
-191.19
-203.77
-258.66
-260.33
-252.21
-217.8
-98.54
-76.88
-67.92
-0.76
126.65
81.05
213.36
146.95
123.84
62.65
88.11
13.1
-5.11
-40.05
-110.27
-162.56
-253.87
-253.87
-179.1
-139.1
-232.76
-204.85
-128.7
-135.63
-63.6
-16.94
-45.55
21.85
59.23
92.79
156.19
127.58
118.03
194.37
97.55
56.37
76.18
6.58
32.02
6.9
-101.71
-101.71
-58.58
-22.4
-34.46
68.6
-9.14
151.56
175.24
103.26
173.36
171.21
198.22
115.06
150.02
157
131.47
72.32
157.09
110.32
129.7
85.81
102.69
-7.04
23.86
-9.36
11.02
5.77
-85.52
-59.66
-102.66
-44.76
-146.63
-99.7
-174.79
-92.15
-141.04
-149.69
-128.04
-180.9
-198.75
-234.01
-301.27
-293.75
-307.12
-378.46
-301.31
-365.97
-175.28
-175.28
-186.37
-121.84
-108.92
-90.13
-105.55
-71.68
-46.08
-31.99
120.67
57.88
135.29
161.48
186.87
94.65
166.26
212.04
176.53
206.76
181.54
181.52
298.46
295.11
38.8
38.8
0.85
17.33
103.69
142.14
138.54
212.38
265.28
258.03
311.78
274.08
314.26
302.58
344.9
234.34
296.81
196.12
187.09
129.87
86.28
32.03
-2.38
-6.29
18.96
18.96
-40.78
-30.33
-62.57
-82.5
-190.63
-121.91
-116.52
-95.4
-37.78
-90.88
-61.94
10.63
120.04
137.62
174.66
179.88
235.69
302.71
314.56
297.13
300.49
353.22
302.58
224.72
205.89
183.34
194.43
34.71
94.88
103.22
135.64
63.19
130.65
64.12
7.13
-14.34
-40.04
-62.06
-56.35
-76.41
-146.65
-145.99
-173.29
-153.03
-198.29
-165.81
428.08
428.08
417.22
382.62
367.76
299.03
320.42
340.15
265.53
305.35
310.66
223.19
255.38
66.71
149.76
88.35
3.36
117.4
-25.92
-59.54
-77.71
-26.88
-46.45
-112.33
160.31
160.31
234.34
158.42
278.99
253.9
336.97
330.74
296.29
329.73
408.69
391.99
373.99
385.49
336.4
292.2
267.33
269.71
322.16
288.17
274.12
210.17
255.44
160.72
180.67
141.78
76.83
59.29
139.58
183.79
60.22
88.63
66.53
72.7
93.3
11.25
169.58
169.58
126.76
154.93
132.4
115.63
33.55
-20.13
-27.39
-127.82
-115.42
-92.88
-78.78
-45.24
-48.32
-49.71
-39.35
-85.03
-65.32
-60.45
-3.48
-70.24
31.96
-58.97
-11.42
-20.4
57.82
84.23
82.7
69.45
79.53
86.91
158.44
174.39
101.58
134.03
176.51
190.47
187.29
128.47
192.43
253.59
148.82
225.53
217.38
207.36
209.85
258.15
226.4
