Date(UTC),Latitude,Longitude,Depth,Magnitude
26-05-2000 00:00,37.65,26.7,10,4.6
27-05-2000 00:00,37.4,26.6,5,4.5
28-05-2000 00:00,38.1,27.1,10,4.6
29-05-2000 00:00,37.73,26.93,10,5.8
30-05-2000 00:00,37.7,26.9,10,4.8
31-05-2000 00:00,42,41.45,10,4.4
01-06-2000 00:00,40.24,41.63,10,4.3
02-06-2000 00:00,37.75,26.98,10,4.8
03-06-2000 00:00,40.63,26.88,10,4.8
04-06-2000 00:00,37.65,26.7,10,4.7
05-06-2000 00:00,37.7,26.8,10,6
06-06-2000 00:00,38,27,30,4.6
07-06-2000 00:00,38.7,27.7,20,4.8
08-06-2000 00:00,38.77,38.71,10,4.6
09-06-2000 00:00,36.8,27.96,10,4
10-06-2000 00:00,38.4,27.75,10,4.5
11-06-2000 00:00,39.6,27.9,15,5
12-06-2000 00:00,39.01,43.73,10,4.7
13-06-2000 00:00,42,43.73,10,4.3
14-06-2000 00:00,40.2,29,6,5.6
15-06-2000 00:00,38.81,28.52,10,6.1
16-06-2000 00:00,39.8,30.5,22,5.4
17-06-2000 00:00,38.8,28.5,10,5.4
18-06-2000 00:00,40.5,37,10,4.8
19-06-2000 00:00,38.95,28.67,10,4.8
20-06-2000 00:00,38.95,28.67,10,4.8
21-06-2000 00:00,42.2,40.5,10,5
22-06-2000 00:00,42.2,40.5,10,5
23-06-2000 00:00,42.2,40.5,10,5.8
24-06-2000 00:00,41,31,27,5.2
25-06-2000 00:00,40.6,28.3,10,5.9
26-06-2000 00:00,40.05,41.95,10,4.6
27-06-2000 00:00,41.23,26.43,10,4.3
28-06-2000 00:00,38.12,38.63,10,6.8
29-06-2000 00:00,38,38.25,10,5.5
30-06-2000 00:00,38,38.25,10,5.5
01-07-2000 00:00,38,38.25,10,5.3
02-07-2000 00:00,36.5,28.9,10,5.2
03-07-2000 00:00,38.42,39.23,10,4.7
04-07-2000 00:00,40.73,39.58,10,4.1
05-07-2000 00:00,38.85,42.94,10,4.6
06-07-2000 00:00,41.53,44.21,10,4.4
07-07-2000 00:00,39.19,26.04,10,4.8
08-07-2000 00:00,40.5,42.7,30,6.2
09-07-2000 00:00,40.28,42.84,10,4.7
10-07-2000 00:00,41.2,44.3,26,5.2
11-07-2000 00:00,36.9,28.47,10,4.6
12-07-2000 00:00,40.5,42,30,6
13-07-2000 00:00,41.5,28.5,10,4.8
14-07-2000 00:00,41,29,12,4.5
15-07-2000 00:00,38.64,42.14,10,4.1
16-07-2000 00:00,39.1,42.5,10,4.9
17-07-2000 00:00,38.72,39.27,10,4.3
18-07-2000 00:00,37.81,28.33,10,4.4
19-07-2000 00:00,40.49,37.17,10,4.8
20-07-2000 00:00,38.6,42,10,5
21-07-2000 00:00,38.53,42.16,10,5.1
22-07-2000 00:00,39.3,40.4,10,4.9
23-07-2000 00:00,38.25,27.47,10,4.6
24-07-2000 00:00,40.72,30.48,10,4.5
25-07-2000 00:00,38.7,41.5,10,5
26-07-2000 00:00,38.45,27.6,10,4.7
27-07-2000 00:00,38.6,27.9,10,4.5
28-07-2000 00:00,40.8,37.92,10,4.4
29-07-2000 00:00,40.7,30.1,15,5.5
30-07-2000 00:00,39.8,38,10,5
31-07-2000 00:00,38.5,28.5,10,4.5
01-08-2000 00:00,37.83,29,10,5.1
02-08-2000 00:00,37.47,34.87,10,5.2
03-08-2000 00:00,39.15,27,10,4.3
04-08-2000 00:00,38.87,27.36,10,4.7
05-08-2000 00:00,37.8,27.1,10,4.6
06-08-2000 00:00,37.55,34.49,10,5.1
07-08-2000 00:00,38.08,27.41,10,4
08-08-2000 00:00,37.8,27.8,15,5
09-08-2000 00:00,37.88,28.09,10,4.4
10-08-2000 00:00,37.83,27.61,10,4.2
11-08-2000 00:00,40.83,33.1,10,4.8
12-08-2000 00:00,38.14,27.43,10,4.3
13-08-2000 00:00,40,32.5,10,4.5
14-08-2000 00:00,38.2,27.7,9,5.3
15-08-2000 00:00,38.1,27.78,10,4.8
16-08-2000 00:00,39.26,42.5,10,4.2
17-08-2000 00:00,40.6,35.9,10,5.2
18-08-2000 00:00,38.75,26.65,10,5.1
19-08-2000 00:00,38.75,26.65,10,5
20-08-2000 00:00,38.75,26.65,10,5
21-08-2000 00:00,38.75,26.65,10,4.6
22-08-2000 00:00,38.41,29.29,10,4.8
23-08-2000 00:00,38.25,28,10,4.5
24-08-2000 00:00,41.04,26.62,10,4.1
25-08-2000 00:00,38.35,39.15,10,6.1
26-08-2000 00:00,37.6,36.8,10,5.4
