Name;Station;Time(norwegian mean time);Precipitation (24 h)
Bjørnøya;SN99710;30.10.1980;0.1
Bjørnøya;SN99710;31.10.1980;1.8
Bjørnøya;SN99710;01.11.1980;6.6
Bjørnøya;SN99710;02.11.1980;12
Bjørnøya;SN99710;03.11.1980;11
Bjørnøya;SN99710;04.11.1980;0.3
Bjørnøya;SN99710;05.11.1980;0.3
Bjørnøya;SN99710;06.11.1980;2.2
Bjørnøya;SN99710;07.11.1980;1.7
Bjørnøya;SN99710;08.11.1980;3
Bjørnøya;SN99710;09.11.1980;0.2
Bjørnøya;SN99710;10.11.1980;0.2
Bjørnøya;SN99710;11.11.1980;0.4
Bjørnøya;SN99710;12.11.1980;0.1
Bjørnøya;SN99710;13.11.1980;0
Bjørnøya;SN99710;14.11.1980;0.4
Bjørnøya;SN99710;15.11.1980;0.4
Bjørnøya;SN99710;16.11.1980;1.1
Bjørnøya;SN99710;17.11.1980;2.5
Bjørnøya;SN99710;18.11.1980;0
Bjørnøya;SN99710;19.11.1980;1.5
Bjørnøya;SN99710;20.11.1980;0
Bjørnøya;SN99710;21.11.1980;0
Bjørnøya;SN99710;22.11.1980;0
Bjørnøya;SN99710;23.11.1980;4
Bjørnøya;SN99710;24.11.1980;0.6
Bjørnøya;SN99710;25.11.1980;0.1
Bjørnøya;SN99710;26.11.1980;0
Bjørnøya;SN99710;27.11.1980;0.3
Bjørnøya;SN99710;28.11.1980;0
Bjørnøya;SN99710;29.11.1980;0
Bjørnøya;SN99710;30.11.1980;0.1
Bjørnøya;SN99710;01.12.1980;0.2
Bjørnøya;SN99710;02.12.1980;0
Bjørnøya;SN99710;03.12.1980;0.9
Bjørnøya;SN99710;04.12.1980;0.1
Bjørnøya;SN99710;05.12.1980;0
Bjørnøya;SN99710;06.12.1980;0
Bjørnøya;SN99710;07.12.1980;0
Bjørnøya;SN99710;08.12.1980;0.1
Bjørnøya;SN99710;09.12.1980;0
Bjørnøya;SN99710;10.12.1980;0.3
Bjørnøya;SN99710;11.12.1980;0.3
Bjørnøya;SN99710;12.12.1980;0.1
Bjørnøya;SN99710;13.12.1980;0.1
Bjørnøya;SN99710;14.12.1980;0
